Puntuación,Dirección,Guionista,Argumento,Nombre de la película,ID de la película,Genero
"4,2",Desconocido,Brett Morris,"When his new neighbour turns out to be the wizard Merlin, young Ben Clark is enlisted in an ancient battle to save the world.",The Sorcerer's Apprentice,tt0120166,Fantasy
"7,5","Dirección
Dieter Meier
Guión
Rozanne CharbonneauDieter MeierJohn Travers
Reparto principal
Zbigniew ZamachowskiDieter MeierCornelia Grolimund",Rozanne CharbonneauDieter MeierJohn Travers,,Lightmaker,tt0133063,Fantasy
"4,1","Dirección
Ernest G. Sauer
Guión
Gary P. ConnerJoe Dinki
Reparto principal
Marilyn ChambersVeronica HartRichard Lounello",Gary P. ConnerJoe Dinki,"Marilyn (Marilyn Chambers) opens a lingerie store in a small town but faces opposition from stuffy townspeople. That is, until she finds an ancient Druid book of spells.",Little Shop of Erotica,tt0148415,Fantasy
"6,4","Dirección
Pitof
Guión
Eugène-François VidocqPitofJean-Christophe Grangé
Reparto principal
Gérard DepardieuGuillaume CanetInés Sastre",Eugène-François VidocqPitofJean-Christophe Grangé,"París, 1830: Vidocq es asesinado por un hombre enmascarado con un espejo. Ladrón convertido en investigador, trabajaba en un caso de hombres muertos por un rayo. Su biógrafo intenta resolver el caso.",Vidocq,tt0164961,Fantasy
"4,8","Dirección
Henry Selick
Guión
Kaja BlackleySam Hamm
Reparto principal
Brendan FraserBridget FondaJohn Turturro",Kaja BlackleySam Hamm,"En coma, un dibujante se encuentra atrapado dentro de su propia creación subterránea y debe encontrar la forma de regresar mientras compite contra su famoso y traicionero personaje, Monkeybone.",Monkeybone,tt0166276,Fantasy
"7,2",Desconocido,Robert Louis StevensonRon ClementsJohn Musker,"Jim Hawkins es un adolescente rebelde al que el mundo considera un vago sin rumbo. Tras recibir un mapa de un pirata moribundo, se embarca en una odisea por el universo para encontrar un tesoro.",Piratenplaneet,tt0133240,Fantasy
"6,3","Dirección
Mark Swan
Guión
Forrest S. Baker IIIKen CromarRay Goldrup
Reparto principal
Liam AikenForrest S. Baker IIISarah Baker",Forrest S. Baker IIIKen CromarRay Goldrup,"It is loosely based on Hans Christian Anderson's classic fairy tale. Because the evil prince Laird did not inherit the crown of Corazion, he sought his revenge by secretly switching his newborn daughter with that of his brother's, King Heath. The real princess is raised as a peasant, unaware of her royal lineage. Years later, Prince Rollo comes to the kingdom in searc... Leer todo",The Princess and the Pea,tt0146063,Fantasy
"7,5",Desconocido,Bob Gale,"Neal Oliver, un joven muy confundido, emprende el viaje de su vida en una autopista que no existe en ninguno de los mapas, yendo a lugares de los que ni siquiera había oído hablar, buscando una respuesta y su chica soñada.",Interstate 60: Episodes of the Road,tt0165832,Fantasy
"8,8",Desconocido,J.R.R. TolkienFran WalshPhilippa Boyens,"Mientras Frodo y Sam se acercan a Mordor con la ayuda del astuto Gollum, la comunidad dividida se enfrenta al nuevo aliado de Sauron, Saruman, y a sus hordas de Isengard.",The Lord of the Rings: The Two Towers,tt0167261,Fantasy
"5,8","Dirección
George Sluizer
Guión
Yvette BíróJosé SaramagoGeorge Sluizer
Reparto principal
Federico LuppiIcíar BollaínGabino Diego",Yvette BíróJosé SaramagoGeorge Sluizer,"An inexplicable crack in the Pyrenees Mountains provokes excitement and scientific curiosity. As the geological fracture deepens and widens, the European community begins to disassociate itself from the calamity, and panic ensues among tourists and residents attempting to escape. When Spain and Portugal physically separate from the continent, the detached Iberian peni... Leer todo",La balsa de piedra,tt0175203,Fantasy
"4,8",Desconocido,Alex ErkiletianRobert McRay,Two ancient entities reincarnated through the centuries face off time and again for an innocent soul.,Legend of the Phantom Rider,tt0210223,Fantasy
"4,3","Dirección
Peter Foldy
Guión
Gerald Sanford
Reparto principal
Paul PopowichDerek HamiltonEugene Levy",Gerald Sanford,A street performer fights a pathological man for his girlfriend's love.,Silver Man,tt0217802,Fantasy
"5,5","Dirección
Peter Weissflog
Guión
Ursula BagnallEllis Kaut
Reparto principal
Hans ClarinChristine NeubauerSunnyi Melles",Ursula BagnallEllis Kaut,"Sequel to the TV series from the 1980s. Now living with a younger relation of Meister Eder, Pumuckl is abducted by two devious circus artists eager to exploit his invisibility in their number. The little sprite has many new adventures in the exciting world of the circus.",Pumuckl und sein Zirkusabenteuer,tt0237622,Fantasy
"5,5",Desconocido,Ethan ReiffCyrus Voris,Un monje tibetano se convierte en mentor de un joven de la calle y trata de enseñarle a proteger el pergamino del poder supremo de una organización secreta nazi empeñada en dominar el mundo.,Bulletproof Monk,tt0245803,Fantasy
"5,4",Desconocido,Stephen Vincent BenetArchibald MacleishPeter Dexter,A down-and-out writer sells his soul to the Devil in exchange for fame and fortune.,The Devil and Daniel Webster,tt0263265,Fantasy
"7,7","Dirección
Frank Scantori
Guión
Frank Scantori
Reparto principal
Wendy CooperHeather Carter-DrakeAna Diego",Frank Scantori,"A Princess is kidnapped by a Sorceress, her fate is to be sacrificed to the evil demon Verik. Only one person has the power to save the Princess, a Priestess. There is only one drawback, the Sorceress and the Priestess are sisters. The only way to be victorious is one must destroy the other.",Warrior Sisters,tt0205513,Fantasy
"6,3","Dirección
Johnny Kim
Guión
Johnny KimSamantha LeeTony T.L. Young
Reparto principal
Dylan EdringtonJohnny KimBree Condon",Johnny KimSamantha LeeTony T.L. Young,"Taylor Williams III meets the girl of his dreams, Mandii Carson.",Raspberry & Lavender,tt0222790,Fantasy
"3,1",Desconocido,Paul Matthews,El hijo de un caudillo está maldito a renacer una vida tras otra y destinado a amar y perder hasta que se levante la maldición.,Berserker,tt0264410,Fantasy
Desconocido,Desconocido,Desconocido,,Off the Pages,tt0286857,Fantasy
