Puntuación,Dirección,Guionista,Argumento,Nombre de la película,ID de la película,Genero
4.3,Desconocido,Desconocido,Many years have passed since the Secret Knight avenged his family by slaying the Evil Knight. The originally noble motive rapidly degenerated into an orgy of bloodletting and terror. His reins in the countryside around the Happy Forest surpassed the sporadic attacks by the Evil Knight. Disillusioned and with no money the Secret Knight joins the Crusaders and embarks o... Read all,Den hemlige riddaren II: Återkomsten,tt0218326,Action
6.4,DirectorDetdrich McClureWritersDetdrich McClureScott J.T. FrankStarsGabriella BiemfordeWayne DehartMilo Frank,Detdrich McClureScott J.T. Frank,"Two young South L.A. friends, Panther and Ray, flee their lethal gangster existence and head out on their motorcycles for a new life in Washington, D.C. Their adventures on the road, however, are filled with as much danger as fun.",Road Dogs,tt0232537,Action
5.3,Desconocido,Desconocido,"Split is a joltingly visual techno thriller that rips deep into the brain of Joe The Driver, a semi articulate thug who must figure out why he is suddenly two people at the same time. - In one world Joe is a limo driver to a stable of teenage Asian callgirls as well as serving as all around henchman for a tyrannical maimed pimp named Mom. In the other world he is dron... Read all",Split,tt0131597,Action
6.8,Desconocido,Guillermo del ToroPeter BriggsMike Mignola,"A demon raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",Hellboy,tt0167190,Action
8.1,Desconocido,Desconocido,,Vampire Lesbian Kickboxers,tt0235853,Action
6.3,DirectorKodi RamakrishnaWriterSatyanandStarsChiranjeeviNamrata ShirodkarTinnu Anand,Satyanand,"Orphaned Arjun lives a poor lifestyle in an ashram along with his mentor, known simply as Guruji, and several other younger orphans in a forest region, Shivgiri which is accessible via railway station Buddhir Medi. One day while returning home, he comes to the assistance of Sapna, who has journeyed all the way from North America after hearing of the sudden death of he... Read all",Anji,tt0239235,Action
7.6,Desconocido,George Lucas,"Three years into the Clone Wars, Obi-Wan Kenobi pursues a new threat, while Anakin Skywalker is lured by Chancellor Palpatine into a sinister plot to rule the galaxy.",Star Wars: Episode III - Revenge of the Sith,tt0121766,Action
5.7,Desconocido,Mark FrostMichael FranceStan Lee,"A group of astronauts gain superpowers after a cosmic radiation exposure and must use them to oppose the plans of their enemy, Doctor Victor Von Doom.",Fantastic Four,tt0120667,Action
5.8,DirectorsRaymond L. GunnRobert SwansonWritersRaymond L. GunnRobert SwansonStarsDale BouttenJames BoyleJames Boyle,Raymond L. GunnRobert Swanson,"Watching this crazy gangland send-up with the ""outlandish"" commercial interuptions, makes you feel as if you are viewing a late night movie on local television, but, a t.v. station could ""never"" air anything like ""Striptease Baby Dolls From Cleveland Meet The Unkillables"", and the commercial spoofs are done the way we'd ""like"" to see them . It's zany comedy and action... Read all",Striptease Baby Dolls from Cleveland Meet the Unkillables,tt0228906,Action
8.1,WriterJeffrey Bunzendahl,Desconocido,"In the high stakes world of espionage, sometimes you've got one chance... WILSON CHANCE, secret agent for the Canadian government. He lives for the moment. He lives for excitement. He lives for danger. Actually, he just hopes he lives! What starts off as a routine surveillance assignment, turns into a deadly game of spy versus spy, as Wilson Chance becomes unwittingly... Read all",Wilson Chance,tt0244306,Action
4.1,DirectorBrett LeonardWritersSteve GerberHans RodionoffStarsJack ThompsonMatthew Le NevezSteve Bastoni,Steve GerberHans Rodionoff,"Agents of an oil tycoon vanish while exploring a swamp marked for drilling. The local sheriff investigates and faces a Seminole legend come to life: Man-Thing, a shambling swamp-monster whose touch burns those who feel fear.",Man-Thing,tt0290747,Action
3.4,DirectorMark RoperWriterHarry Alan TowersStarsThomas Ian GriffithGerit KlingBarry Flatman,Harry Alan Towers,"Jeffery Thorpe roams the Caribbean in his boat, 'The Sea Wolf'. He will take any job, no matter how suspicious the circumstances. When a mysterious woman gives him an antique gold coin, the real adventure is about to begin!",The Sea Wolf,tt0295590,Action
3.4,DirectorJason YeeWriterJason YeeStarsJason YeeThomas Braxton Jr.Cung Le,Jason Yee,"Derek Woo is back in town to clean up the streets once and for all. But when a group of gangsters are brutally murdered by a mysterious assassin, the police target Derek as the prime suspect.",Dark Assassin,tt0301265,Action
6.9,Desconocido,Alex KurtzmanRoberto OrciJ.J. Abrams,IMF agent Ethan Hunt comes into conflict with a dangerous and sadistic arms dealer who threatens his life and his fiancée in response.,Mission: Impossible III,tt0317919,Action
2.6,Desconocido,Troy ScottKevin Lewis,"A college student is hired to simply deliver a car to an LA parking garage. The job sounds too easy, so he checks the trunk and becomes a target in a secret war between forces of Heaven and Hell who are after the contents of the trunk.",The Drop,tt0340084,Action
5.4,DirectorBrian LawrenceWriterBrian LawrenceStarsDerek DenhamMark BrockCandace Posluszny,Brian Lawrence,"The action crime-thriller, CORRUPTED MINDS, revolves around a gang of revolutionaries who are about to cause mayhem for the citizens and cops of the Motor City.",Detroit,tt0337609,Action
6.1,DirectorDiego de la TexeraWritersRegiana AntoniniMarcos BernsteinDiego de la TexeraStarsLucci FerreiraMaría Dulce SaldanhaPietro Mário,Regiana AntoniniMarcos BernsteinDiego de la Texera,"In the early 1960's, a group of people responsible for the construction of the Brasilia-Fortaleza road is abandoned in the middle of the jungle by the Brazilian government, after the military coup.",Meteoro,tt0339382,Action
6.1,Desconocido,Michael DoughertyDan HarrisBryan Singer,"Superman returns to Earth after spending five years in space examining his homeworld Krypton. But he finds things have changed while he was gone, and he must once again prove himself important to the world.",Superman Returns,tt0348150,Action
5.3,Desconocido,Mark Steven Johnson,"When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.",Ghost Rider,tt0259324,Action
6.5,DirectorRay BradyWriterRay BradyStarsGordon AlexanderElizabeth TanNeil Rayment,Ray Brady,"Aliens appear at the UN and invite Earth to join the Galactic Federation, there is a catch though, Earth has one year to send a team of it's best fighters to represent the planet in an unarmed combat tournament. The fate of the Earth depends on the tournaments outcome.",Intergalactic Combat,tt0330972,Action
7.1,Desconocido,John CarlinRoderick ThorpMark Bomback,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,Die Hard 4.0,tt0337978,Action
5.4,Desconocido,Chad FiferChris Lackey,"Being a superhero is easy, but what if you are the Chosen One?",The Chosen One,tt0357545,Action
3.5,Desconocido,Hyung-rae Shim,"Once in 500 years, ancient mythical creatures come to Earth, wreaking havoc and destruction. This time they must be stopped.",D-War,tt0372873,Action
7.5,Desconocido,Michael GoldenbergJ.K. Rowling,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",Harry Potter and the Order of the Phoenix,tt0373889,Action
7.3,DirectorHiroshi InagakiWritersMansaku ItamiShunsaku IwashitaStarsTsumasaburô BandôKeiko SonoiYasushi Nagata,Mansaku ItamiShunsaku Iwashita,"Matsugoro is a poor rickshaw driver whose animated spirit and optimistic demeanor make him a favorite of the town. Matsu helps an injured boy, Toshio, and is hired by the boy's parents.",Muhomatsu no issho,tt0036177,Action
6.8,Desconocido,Gregory C. HaynesJason deVilliersRocco DeVilliers,Two boys from a small town find their courage tested when they accidentally stow away aboard an airplane owned by the mob.,The Flyboys,tt0357668,Action
5.5,Desconocido,Maurice G. DantecMathieu KassovitzÉric Besnard,Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.,Babylon A.D.,tt0364970,Action
6.3,Desconocido,Nikolai Müllerschön,"German biopic loosely based on the World War I fighter ace Manfred Von Richthofen, nicknamed the Red Baron by friend and foe alike.",The Red Baron,tt0365675,Action
6.2,Desconocido,David KoeppGeorge LucasJeff Nathanson,"Set in 1957, it pits Indiana Jones against Soviet KGB agents led by Irina Spalko searching for a telepathic crystal skull located in Peru.",Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,Action
7.9,Desconocido,Mark FergusHawk OstbyArt Marcum,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",Iron Man,tt0371746,Action
5.8,Desconocido,Michael D. WeissJennifer FlackettMark Levin,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",Journey to the Center of the Earth,tt0373051,Action
3.2,Desconocido,Michael RoeschPeter ScheererMasaji Takei,An ex-special forces soldier turned boatman is hired by a journalist to investigate a top-secret military base on a nearby island.,Far Cry,tt0400426,Action
