Ceremonia,Mejor película,Mejor director,Mejor actor,Mejor actriz
24 de febrero de 2008,No Country for Old Men,J. Coen E, D. Day-Lewis, M. Cotillard
22 de febrero de 2009,Slumdog Millionaire,D. Boyle, S. Penn, K. Winslet
7 de marzo de 2010,The Hurt Locker,K. Bigelow, J. Bridges, S. Bullock
27 de febrero de 2011,The King's Speech,T. Hooper, C. Firth,  N. Portman
26 de febrero de 2012,The Artist,M. Hazanavicius, J. Dujardin, M. Streep
24 de febrero de 2013,Argo,A. Lee, D. Day-Lewis, J. Lawrence
2 de marzo de 2014,12 Years a Slave,A. Cuarón, M. McConaughey, C. Blanchett
22 de febrero de 2015,Birdman or,A. G. I, E. Redmayne, J.Moore
28 de febrero de 2016,Spotlight,A. G. I, L. DiCaprio, B. Larson
26 de febrero de 2017,Moonlight,D. Chazelle, C. Affleck, E. Stone
4 de marzo de 2018,The Shape of Water,G. del Toro, G. Oldman, F. McDormand
24 de febrero de 2019,Green Book,A. Cuarón,  R. Malek, O. Colman
9 de febrero de 2020,Parasite,Bong J.,  J. Phoenix, R. Zellweger
25 de abril de 2021,Nomadland,C. Zhao, A. Hopkins, F. McDormand
27 de marzo de 2022,CODA,J. Campion, W. Smith, J. Chastain
12 de marzo de 2023,Everything Everywhere All at Once,D. Kwan D, B. Fraser, M. Yeoh
10 de marzo de 2024,Oppenheimer,C. Nolan, C. Murphy, E. Stone
